2D	2-Dimensional
DFW	Dallas-Ft.Worth (regional airport)
DG	Data General [Corporate name]
DG	Dei Gratia (by the grace of God)
DG	Director General
DGSC	Defense General Supply Center
DHHS	Department of Health and Human Services
DHSS	british Department of Health and Social Security
DHSS	Department of Health and Social Security (British)
DIA	Document Interchange Architecture
DIAD	(magnetic) Drum Information Assembler / Dispatcher
DIAL	Direct Information Access Line
DIAS	Defense Automatic Integrated System
DID	Direct Inward Dialing [Telephony]
DIF	Document Interchange Format
DIN	Deutsches Institut fur Normung
DIRE	Dire Is Really Emacs
DIS	Draft International Standard [ISO]
DISA	Data Interchange Standards Association
DISOSS	Distributed Office Support System [IBM]
DIY	Do It Yourself
DJ	Disc Jockey
DLA	Defense Logistics Agency
DLI	Data Link Interface(?)
DLL	Data Link Layer [ISO OSI]
DLL	Dial Long Line equipment
DLO	Dead Letter Office
DM	Dungeon Master
DMA	Direct Memory Access
DMD	Doctor of Dental Medicine
DME	Distance Measuring Equipment
DMF	Probably part of an X.400 address in Europe
DMOS	Diffusion Metal Oxide Semiconductor (see MOS)
DMSP	Defense Meteorological Satellite Program [Space]
DMV	Department of Motor Vehicles
DMV	Department of Motor Vehicles (Calif)
DMZ	DeMilitarized Zone
DNA	DeoxyriboNucleic Acid
DNA	Digital Network Architecture [DEC]
DNCRI	[NSF] (q.v.) Division of Networking and Communications Research and Infrastructure
DNHR	Dynamic NonHierarchical Routing
DNIC	Data Network Identification Code [Telephony]
DNIS	Dialed Number Identification Service (see also DID) [Telephony]
DNL	Director of Naval Laboratories
DNR	Dialed Number Recorder [Telephony]
DNS	Domain Name System
DOA	Dead On Arrival
DOB	Date Of Birth
DOC	Dynamic Overload Control
DOD	Department Of Defense [US Government] (sometimes DoD)
DOE	Department of Energy [US Government]
DOHC	Dual OverHead Cams [Automotive]
DOMAIN	Distributed Operating Multi Access Interactive Network (Apollo)
DOS	Disk Operating System
DOT	Department Of Transportation [US Government]
DOT&E	Director, Operational Test and Evaluation
DOV	Data Over Voice [Telephony]
DOY	Day of Year
DP	Data Processing
DP	Dial Pulse [Telephony]
DP	Displaced Persons (expelled from native land)
DP	Display Postscript
DP	Double Penetration
DP	Double Play
DP	Draft Proposal
DPA	Delegation of Procurement Authority
DPANS	Draft Proposed American National Standard
DPI	Dots Per Inch
DPS	Display PostScript
DQ	Dairy Queen
DQ	Dragon Quest
DQDB	Distributed Queue Dual Bus (IEEE 802.6) [Telephony, Networking]
DQL	Database Query Language
DR	Dead Reckoning
DR	Dining Room
DRAM	Dynamic Random Access Memory (as opposed to static RAM)
DRD	Data Reading Device
DRE	Directional Reservation Equipment
DRG	Democratic Republic of Germany (East Germany)
DRI	Defense Research Internet
DRI	Digital Research, Incorporated [Corporate name]
d.s.	died single [Genealogy]
DS	Double-Sided
DS	Draft Standard
DSA	Dial System Assistance
DSE	Data Structure Editor
DSEE	Domain Software Engineering Environment
DSM	Distinguished Service Medal
DSO	Distinguished Service Order
DSP	Decessit Sine Prole (died without issue)
DSP	Digital Signal Processing
DSRI	Digital Standard Relational Interface
DSS	Decision Support System
DSS	Direct Station Selection [Telephony]
DST	Daylight Saving Time
DSTN	Double SuperTwisted Nematic
DSU	Digital Service Unit
DT	Delirium Tremens
DTE	Data Terminal Equipment
DTF	Dial Tone First payphone [Telephony]
DTMF	Dial Tone Multi Frequency [Telephony]
DTP	DeskTop Publishing
DTR	Data Terminal Ready (EIA RS-232-C)
DUI	Driving Under the Influence
DUT	Device Under Test
DV	Deo Vo lente (God willing)
DVM	Digital Volt Meter
DVM	Doctor of Veterinary Medicine
DWAPS	Defense Warehousing Automated Processing System
DWI	Died Without Issue [Genealogy]
DWI	Driving While Intoxicated
DWIM	Do What I Mean
DX	Distance (as in long distance radio communication)
DXT	Data eXtractT facility
d.y.	died young [Genealogy]
E	East
E	Espionage
EADASS	Engineering and Administrative Data AcquiSition System
EAFB	Edwards Air Force Base [Space]
EAN	Certainly part of an X.400 Address in Europe
EARN	European Academic Research Network
EAS	Extended Area Service (or Engineering Admin. System) 
EASI	European Academic Supercomputer Initiative (of IBM)
EBCDIC	Extended Binary Coded Decimal Interchange Code
EC	Exchange Carrier [Telephony]
ECAFE	Economic Commission for Africa and the Far East
ECASS	Electronically Controlled Automatic Switching System
ECASS	Export Control Automated Support System
ECC	Error Correction Code
ECC	Error Correction Code (corrects error in memory or transmission)
ECCM	Electronic Counter-CounterMeasures
ECDO	Electronic Community Dial Office
ECG	ElectroCardioGram
ECL	Emitter Coupled Logic (see also TTL)
ECLSS	Environmental Control and Life Support System [Space]
ECM	Electronic Counter Measure
ECM	European Common Market
ECMA	European Computer Manufacturers Association
ECO	Ecological
ECO	Electronic Central Office
ECO	Engineering Change Order
ECPA	Electronic Communications Privacy Act [US law]
ECS	Environmental Control System [Space]
ECT	ElectroConvulsive Therapy
ECV	Electric Cargo Vehicle [NASA OEXP]
ED&D	Expert Dungeons & Dragons
EDGAR	Electronic Data Gathering, Analysis, and Retrieval
EDI	Electronic Data Interchange
EDIF	Electronic Design Interchange Format
EDO	Extended Duration Orbiter [Space]
EDP	Electronic Data Processing
EDS	Electronic Data Systems
EDT	Eastern Daylight Time
EDTA	Ethylene Diamine Tetraacetic Acid
EDTCC	Electronic Data Transmission Communications Central
EE	Electrical Engineer
EE	Electrical or Electronics Engineer
EEC	European Economic Community
EEC	European Economic Comunity
EEG	ElectroEncephaloGram
EEL	Epsilon Extension Language
E&EO	Errors and Omissions Excepted
EEPROM	Electrically Erasable Programmable Read Only Memory
EFF	Electronic Frontier Foundation
e.g.	??? (Latin(?): for example)
EGA	Enhanced Graphics Adapter
EGP	Exterior Gateway Protocol [Internet]
EGRET	Energetic Gamma Ray Experiment Telescope (on GRO) [Space]
EHF	Extremely High Frequency (30-300GHz)
EIA	Electronic Industries Association
EINE	EINE Is Not Emacs
EISA	Extended Industry-Standard Architecture
EISS	European Intelligence Support System
EKG	ElectroKardioGramm (see ECG)
EL	ElectroLuminescent (as in display)
ELF	Extremely Low Frequency
ELO	Electric Light Orchestra
ELP	Emerson, Lake and Palmer (or Powell)
ELV	Expendable Launch Vehicle [Space]
E&M	``Ear and Mouth''; receive and transmit leads of a signalling system
EM	Enlisted Man (see EW)
EMA	Electronic Mail Association
EMACS	Editor MACroS
EMACS	Eight Megabytes And Constantly Swapping
E-MAIL	Electronic MAIL
EMF	ElectroMotive Force
EMF	ElectroMotive Force (voltage)
EMI	ElectroMagnetic Interference
EMP	Electromagnetic Pulse
EMPRESS EnvironMental Pulse Radiation Environment Simulator for Ships
EMR	ElectroMagetic Response
EMR	ElectroMagnetic Response
EMS	Electronic Message System
EMS	Extended Memory Specification
EMT	Emergency Medical Technician
EMU	ElectroMagnetic Unit
EMU	Extravehicular Mobility Unit [Space]
ENIAC	Electronic Numerical Integrator and Calculator
ENS	ENSign
EO	End Office [Telephony]
EO	Erasable Optical
EOF	End Of File
EOM	End Of Month
EOS	Earth Observing System [Space]
EOWG	Engineering and Operations Working Group (under FNC)
EP	Experience Points
EP	Extended Play
EPA	Environmental Protection Agency
EPOS	Engineering and Project-management Oriented Support system
EPRI	Electric Power Research Institute
EPROM	Erasable Programmable Read Only Memory
EPS	Encapsulated PostScript
EPT	Empire of the Petal Throne
EQ	Educational Quotient (see IQ)
ER	Emergency Room
ERA	Earned Run Average
ERA	Entity-Relationship-Attribute
ERA	Equal Rights Amendment
ERD	Entity-Relation Diagram
ERE	Entity Relationship Editor
ERT	Earth Resources Technology [Space]
ES	Expert System
ESA	European Space Agency
ESA	European Space Agency [Space]
ESAC	Electronic Systems Assistance Center
ESDI	Enhanced Standard Device Interface
ESE	East South East
ESF	Extended Superframe Format [Telephony]
ESM	Electronic Support Measures
ESnet	Energy Sciences network (DoE) [Networking]
ESO	European Southern Observatory
ESO	European Southern Observatory [Space]
ESP	Extra Sensory Perception
ESPS	Entropic Signal Processing System
ESS	Electronic Switching System [Telephony]
ESSEX	Experimental Solid State EXchange
EST	Eastern Standard Time
ET	Eastern Time
ET	Extra Terrestrial [Space]
ET	(Shuttle) External Tank [Space]
ETA	Estimated Time of Arrival
ET/ACC	External Tank/Aft Cargo Carrier (see also ET) [Space]
ETC	Et cetera, and so on...
ETD	Estimated Time of Departure
ETFD	Electronic Toll Fraud Device [Telephony]
ETH	Eidgn\:oessiche Technische Hochschule (Swiss Federal Institute of Technology)
ETLA	Extended Three Letter Acronym [Space]
ETO	Earth-to-Orbit [Space]
ETR	Eastern Test Range [Space]
ETS	Electronic Translator System
ETV	Education TeleVision
EUUG	European Unix User Group
EUV	Extreme UltraViolet
EUV	Extreme UltraViolet [Space]
EUVE	Extreme UltraViolet Explorer [Space]
EVA	ExtraVehicular Activity
EVA	ExtraVehicular Activity [Space]
EVX	Electronic Voice eXchange
EW	Electronic Warfare
EW	Enlisted Woman (see EM)
EWOS	European Workshop for Open Systems
FA	Football Association (British soccer--a word derived from Association)
FAA	Federal Aviation Agency [US Government]
FACD	Foreign Area Customer Dialing
FAO	Food and Agriculture Organization [US Government]
FAQ	Frequently Asked Questions [Space]
FAR	Federal Acquisition Regulations
FAS	Foreign Agricultural Service
FAS	Free Alongside Ship
FASST	Flexible Architecture Standard System Technology
FAST	Fast Auroral SnapshoT explorer [Space]
FAT	Foreign Area Translation
FAX	FAcsimile
FB	Freight Bill
FBI	Federal Bureau of Investigation [US Government]
FCC	Federal Communications Commission [US Government]
FCC	Federal Computer Conference
FCCSET	Federal Coordinating Committee for Science, Education and Technology (under OSTP) {Maybe Eng. for Edu.??}
FCO	Field Change Order
FCO	Frequency Controlled Oscillator
FCS	Frame Check Sequence
FDA	Food and Drug Administration [US Government]
FDDI	Fiber Digital Data Interface
FDDI	Fiber Distributed Data Interface
FDHD	Floppy Drive High Density
FDIC	Federal Deposit Insurance Corporation
FDIC	Federal Deposit Insurance Corporation [US Government]
FDM	Frequency Division Multiplexing
FDR	Franklin Delano Roosevelt [US President]
FE	Field Engineer (see also CE, SE)
FEA	Finite Element Analysis
FEDSIM	FEDeral Systems Integration and Management center
FEMA	Federal Emergency Management Agency
FEMF	Foreign EMF (q.v.) (a.k.a. Cross Battery) [Telephony]
FEPC	Fair Employment Practices Commission
FEPG	Federal Engineering Planning Group (of FNC under EOWG, originally of FRICC)
FERS	Federal Employees Retirement System
FET	Federal Excise Tax
FET	Field Effect Transistor
FFA	Future Farmers of America
FFT	Fast Fourier Transform
FFT	Fast Fourier Transform [Space]
FG-A	Feature Group A [Telephony] (Line Side termination for LD carriers)
FG-B	Feature Group B [Telephony] (Trunk Side termination for LD carriers (aka ENFIA B), 950 service)
FG-D	Feature Group D [Telephony] (Trunk Side termination for LD carriers, 1+ service)
FGS	Fine Guidance Sensors (on HST) [Space]
FHA	Federal Home Administration
FHA	Future Homemakers of America
FIB	Focused Ion Beam
FICA	Federal Insurance Contributions Act
FIDO	Fog Investigation Dispersal Operation
FIFO	First In First Out (as in registers and buffers)
FILO	First In Last Out (see also FIFO)
FIMS	Forms Interface Management System
FINE	FINE Is Not Emacs
FIO	Frequency In and Out
FIPS	Federal Information Processing Standard
FIR	Far InfraRed [Space]
FIR	Finite Impulse Response
FIRMR	Federal Information Resource Management Regulation
FIT	Federal Information Technologies, inc.
FITS	Flexible Image Transport System [Space]
FIX	Federal Inter-agency eXchange [Networking]
FL	Florida
FLACC	Full Level Algol Checkout Compiler
FLEA	Four Letter Extended Acronym
FLL	Fixed Loss Loop [Telephony]
FLOP	FLoating point OPeration
FLOPS	FLoating-point OPerations per Second
FLRA	Federal Labor Relations Authority
FM	Frequency Modulation
FMB	Federal Maritime Board
FMCS	Federal Mediation and Conciliation Service
FMR	Follow Me Roaming [Telephony]
FMS	Financial Management Service (Treasury Dept) [US Government]
FMS	Forms Management System
FNC	Federal Networking Council (formerly FRICC) [US Government] (under OSTP)
FO	Foreign Office
FO	Forward Observer
FOAC	Federal Office Automation Center
FOB	Free On Board
FOB	Full Of Bull (aperiodical of) [TMRC]
FOC	Faint Object Camera (on HST) [Space]
FOC	Free Of Charge
FOIA	Freedom Of Information Act
FOIMS	Field Office Information Management System
FOIRL	Fiber Optic Inter(?) Repeater(?) Link(?) [Ethernet]
FOOBAR	See FUBAR [Net jargon]
FOR	Free On Rail
FORCS	Faa's Operational Reporting Communication System
FORD	Fix Or Repair Daily [Humor]
FORD	Found On Road Dead [Humor]
FORTRAN FORmula TRANslator
FOS	Faint Object Spectrograph (on HST) [Space]
FOSE	Federal Office Systems Exposition
FOT	Fiber Optic Transceiver [Ethernet]
FOT	Free On Truck
FOV	Field Of View
FPA	Floating Point Accelerator
FPC	Fish Protein Concentrate
FPE	Floating Point Engine
FPHA	Federal Public Housing Authority
FPLA	Field Programmable Logic Array (see PLA)
FPM	Feet Per Minute
FPO	Field Post Office
FPO	Fleet Post Office
fps	Feet Per Second
FPU	Floating Point Unit
FQDN	Fully Qualified Domain Name [TCP/IP] (DNS)
FR	Frame Relay [Telephony, Networking]
FRACTAL FRACTional dimensionAL
FRED	Fred Resembles Emacs Deliberately
FRG	Federal Republic of Germany (West Germany)
FRICC	Federal Research Internet Coordinating Committee (now FNC, q.v.) [Networking, US Government]
FROG	Free Rocket Over Ground
FRPG	Fantasy Role Playing Game
FRS	Federal Reserve System
FS	Field Service
FS	File System
FS	Full Standard
FSF	Free Software Foundation
FSK	Frequency Shift Keying
FSLIC	Federal Savings and Loan Insurance Corporation
FSS	Federal Supply Service
FSW	Forward Swept Wings
Ft	Foot
FTAM	File Transfer And Management (ISO upscale FTP)
FTC	Federal Trade Commission
FTL	Faster Than Light
FTP	File Transfer Protocol (esp. of the TCP/IP suite)
FTS	Federal Telecommunications System [Telephony, US Government]
FTS	Flight Telerobotic Servicer [Space]
FUBAR	F***ed Up Beyond All Recognition/Repair
FUBAR	Fouled Up Beyond All Recognition/Repair
FUSE	Far Ultraviolet Spectroscopic Explorer [Space]
FW	Fringeworthy
FWD	Front Wheel Drive
FWHM	Full Width at Half Maximum [Space]
FX	Foriegn eXchange [Telephony]
FY	Fiscal Year
FYI	For Your Information
G	General audiences [Movie rating]
G	Gravity
GA	Gamblers Anonymous
GA	General Assembly
GA	General Average
GA	General of the Army
GA	Georgia
GAAP	Generally Accepted Accounting Principles
GAB	Group Audio Bridging [Telephony]
Gaia	Earth's self-sustaining Biosphere (Not an acronym, from some ancient language, I think)
GAN	Global Area Network
GAO	General Accounting Office [US Government]
GAR	Grand Army of the Republic
GARR	Gruppo Arminizzazione Rete por la Ricerca (Italian Research Network Harmonization Group)
GAS	Get-Away Special [Space]
GATT	General Agreement on Tariffs and Trade
GAW	Guaranteed Annual Wage
GAW	Guarenteed Annual Wage
GB	Gangbusters
GB	GigaByte
GB	Great Britain
GBIP	General Purpose Interface Bus
GBT	Green Bank Telescope [Space]
GC	Garbage Collection (LISP)
GC	Gas Chromatograph (or Chromatography)
GCA	Ground Controlled Approach
GCC	Gnu C Compiler
GCD	Ground Controlled Descent
GCL	Graphics Command Language
GCM	General Court Martial
GCR	Group-Coded Recording (magnetic tape, 6250 bpi)
GCT	Greenwich Civil Time
GCVS	General Catalog of Variable Stars [Space]
GDB	Gnu DeBugger
GDP	Gross Domestic Product
GDS	Great Dark Spot [Space]
GE	General Electric
GEM	Giotto Extended Mission [Space]
GEM	Graphics Environment Manager
GEO	Geosynchronous Earth Orbit [Space]
GHQ	General HeadQuarters
GHRS	Goddard High Resolution Spectrograph (on HST) [Space]
GHz	Giga HertZ (unit of frequency, 1,000,000,000 cycles per second)
GI	Galvanized Iron
GI	Gastro Intestinal (as in upper GI)
GI	General Issue
GI	Government Issue
GID	Group ID [UNIX]
GIF	Graphics Interchange Format
GIGO	Garbage In Garbage Out
GIN	Graphics INput
GISS	Goddard Institute for Space Studies
GKS	Graphical Kernel Standard
GKS	Graphics Kernel System
GM	Game Master
GM	General Manager
GM	General Motors [Corporate name, Automobile]
GM	Guided Missile
GMBH	Gesellschaft Mit Beschraenkter Haftung
GMC	Giant Molecular Cloud [Space]
GMD	Gesellschaft f\:ur Mathematik und Datenverarbeitung (German Institute for Mathematics and Data Processing)
GMRT	Giant Meter-wave Radio Telescope [Space]
GMT	Greenwich Mean Time (also called UT)
GNP	Gross National Product
GNU	GNU's Not Unix
GOES	Geostationary Orbiting Environmental Satellite [Space]
GOES	Geostationary Orbiting Environmental Satellites [Space]
GOSIP	Government Open Systems Interconnection Profile (calls for government procurement of ISO/CCITT products)
GOSIP	Government OSI Profile
GP	General Practitioner
GP	General Purpose (RR engines and origin of Jeep) [Railroading, Automobile]
GPC	General Purpose Computer [Space]
GPI	Graphics Programming Interface
GPIB	General Purpose Interface Bus
GPIB	General-Purpose Interface Bus
GPL	GNU General Public Licence
GPO	General Post Office
GPO	Government Printing Office
GPS	Global Positioning System
GPS	Global Positioning System [Space]
GQ	General Quarters
GRB	Gamma Ray Burst(er)
GREP	Global Regular Expression Print, g/re/p, (UNIX command)
GREP	Global Regular Expression Print [UNIX]
GRO	Gamma Ray Observatory [Space]
GRS	Gamma Ray Spectrometer (on Mars Observer) [Space]
GRS	Great Red Spot [Space]
GS	General Schedule
GS	Glide Slope
GSA	General Services Administration
GSA	General Services Adminstration [US Government]
GSA	Girl Scouts of America
GSBCA	General Services administration Board of Contract Appeals
GSC	Guide Star Catalog (for HST) [Space]
GSFC	Goddard Space Flight Center (Greenbelt, MD) [NASA, Space]
GSI	Gesellschaft f\:ur Schwerionenforschung (German Federal Research Institute for Heavy Ion Research)
GSM	Global System Mobile
GSM	Groupe Speciale Mobile (Committee Designing preceding)
GSTS	Ground-based Surveillance and Tracking System
GT	Gross Ton
GTE	General Telephone and Electric [Corporate name]
GTO	Geostationary Transfer Orbit [Space]
GTSI	Government Technology Services, inc.
GUI	Graphical User Interface
GW	Gamma World
GWEN	Ground Wave Emergency Network
GWM	Generic Window Manager [X]
H	Harn
H	Height
HACD	Home Area Customer Dialing
HAL	Heuristically programmed ALgorithmic computer (movie 2001)
HAM	Hold And Modify
HAO	High Altitude Observatory [Space]
Hb	HemogloBin
HBM	Her British Majesty; His British Majesty
HBO	Home Box Office
HC	Holy Communion
HC	House of Commons
HCFA	Health Care Financing Administration
HCFC	hydrochlorofluorocarbon [Chemical]
HCL	High Cost of Living
HD	Hard Disk
HD	Heavy Duty
HD	Henry Draper catalog entry [Space]
HDA	Head Disk Assembly (in winchester disk drives)
HDBV	Host Data Base View
HDL	High Density Lipoprotein
HDLC	High-level Data Link Control [Networking]
HDTV	High Definition Television
HE	His Eminence
HE	His Excellency
HEAO	High Energy Astronomical Observatory [Space]
HEDM	High Energy-Density Matter [Space]
HEMP	Help End Marijuana Prohibition
HEO	High Earth Orbit [Space]
HEPnet	High Energy Physics network [Networking]
HERO	Hazards of Electromagnetic Radiation to Ordnance
HF	High Fantasy
HF	High Frequency (3-30MHz)
HFE	Human Factors Engineering
HFS	Hierarchical File System
HGA	High Gain Antenna [Space]
HHS	(US Department of) Health and Human Services
HI	Hawaii
HIIPS	Hud Integrated Information Processing Services
HLC	Heavy Lift Capability [Space]
HLL	High-Level Language
HLV	Heavy Lift Vehicle [Space]
HMC	Halley Multicolor Camera (on Giotto) [Space]
HMOS	High performance Metal Oxide Semiconductor (see MOS)
HMS	His/Her Majesty's Ship
HMT	His/Her Majesty's Transport
HNPA	Home Numbering Plan Area [Telephony]
HOBIS	HOtel Billing Information System 
HOL	High-Order System
HOTOL	HOrizontal Take-Off and Landing
HP	Hewlett Packard, Inc. [Corporate name]
HP	High Pressure
HP	Higher Power (sort of an AA "in" term, usually God)
HP	Hit Points
HP	HorsePower
HPGe	High Purity Germanium
HPL/T	High-Productivity Languages/Tools
HQ	HeadQuarters
HR	Hertzsprung-Russell (diagram) [Space]
HR	House of Representatives
HRH	Her Royal Highness
HRH	His Royal Highness
HRI	High Resolution Imager (on ROSAT) [Space]
HS	High School
HSB	Hue, Saturation, Brightness
HSP	High Speed Photometer (on HST) [Space]
HST	Hawaiian Standard Time
HST	Hubble Space Telescope [Space]
HT	High Tension (as in electric power transmission)
HTK	Hits To Kill
HUAC	House Unamerican Activities Committee
HUD	Heads Up Display
HUD	Housing and Urban Development [US Government]
HUPD	Harvard University Police Department
HUT	Hopkins Ultraviolet Telescope (ASTRO package) [Space]
HV	High Voltage
HVAC	Heating, Ventilation, and Air Conditioning
HW2000	Highway 2000
HWM	High-Water Mark
Hz	HertZ (unit of frequency, cycles per second)
IAB	Internet Activities Board [Networking]
IAEA	International Atomic Energy Agency
IANA	Internet Assigned Numbers Authority (IANA@ISI.EDU)
IATA	International Air Transport Association
IAU	International Astronomical Union [Space]
IAUC	IAU Circular [Space]
IBM	Ingrained Batch Mentality
IBM	International Business Machines, Inc. [Corporate name]
IBM	Itty Bitty Machines
IBT	Illinois Bell Telephone
IC	Integrated Circuit
IC	Interexchange Carrier [Telephony] (see also IEC, IXC)
ICB	Interstate Computer Bank
ICBM	InterContinental Ballistic Missile
ICE	In-Circuit Emulator
ICE	International Cometary Explorer [Space]
ICI	Imperial Chemical Industries
ICJ	International Court of Justice
ICL	International Computers Ltd.
ICMP	Internet Control Message Protocol
ICP	Integrated Channel Processor
ICP	Inventory Control Points
ICRC	International Cosmic Ray Conference
ID	Idaho
ID	IDentification
IDA	Intercommunication Data Areas
IDA	International Dark-sky Association [Space]
IDA	International Development Association
IDDD	International Direct Distance Dial [Telephony]
IDE	Interactive Development Environments, inc
IDF	Intermediate Distributing Frame [Telephony]
IDL	Interactive Data Language [Space]
IDV	Interlibrational Derived Vehicle [Space]
i.e.	???? (Latin(?): in other words (?))
IE	Indo-European
IEC	Inter-Exchange Carrier [Telephony] (see also IC, IXC)
IEE	Institute of Electrical Engineers [UK]
IEEE	Institute of Electrical and Electronic Engineers
IETF	Internet Engineering Task Force
IF	Intermediate Frequency (as in IF stage)
IFB	Invitation For Bids
IFC	International Finance Corporation
IFC	International Freighting Corporation
IFF	Identification - Friend or Foe
IFF	Interchange File Format
IFLA	International Federation of Library Associations
IFR	Instrument Flight Rules [Aviation]
IGES	Initial Graphics Exchange Standard
IGM	InterGalactic Medium [Space]
IGY	International Geophysical Year
IGY	International Geophysical Year [Space]
IHP	Indicated HorsePower
IHS	Integrated Hospital Support
IIA	Information Industry Association
IIE	Institute of Industrial Engineers
IIHF	International Ice Hockey Federation
IIL	Integrated Injection Logic
ILO	International Labor Organization
ILS	Instrument Landing System
ILV	Industrial Launch Vehicle [Space]
IMF	International Monetary Fund
IMHO	In My Humble Opinion [Net jargon]
IMO	In My Opinion [Net jargon]
IMP	Interface Message Processor [ARPANET/MILNET] (replaced by PSN)
IMSL	International Mathematical Subroutine Library
IN	Indiana
INADS	INitialization and ADministration System [Telephony]
INRA	Iesus Nazerenus Rex Iudaeorum (Jesus of Nazareth, King of the Jews)
INRIA	Institut National de Recherche en Informatique et Automatique
INS	Immigration and Naturalization Service
INTAP	INteroperability Technology Association for information Processing
INWATS	INward Wide Area Telephone Service [Telephony]
I/O	Input/Output
IO	Input/Output (sometimes I/O)
IOC	International Operating Center [Telephony, US]
IOD	Identified Outward Dialing
IOOF	International Order of Odd Fellows
IOTA	Infrared-Optical Telescope Array [Space]
IOTA	International Occultation Timing Association [Space]
IOU	I Owe you(U)
IP	Information Provider [Telephony]
IP	Innings Pitched
IP	Intermediate Point
IP	Internet Protocol
IPC	Inter-Process Communication
IPE	Integrated Programming Environment
IPMS	InterPersonal Message Services
IPS	Inertial Pointing System [Space]
IPS	Information Processing Standards
IPSE	Integrated Project-Support Environment
IQ	Intelligence Quotient (see EQ)
IR	Index Register
IR	Infra-Red
IRA	Individual Retirement Account
IRA	Irish Republican Army
IRAF	Image Reduction and Analysis Facility [Space]
IRAS	InfraRed Astronomical Satellite [Space]
IRBM	Intermediate Range Ballistic Missile
IRDS	Information Resource Dictionary Standard
IRDS	InfraRed Detection Set
IRE	Institute of Radio Engineers (old name for the now IEEE, which see)
IRM	Information Resources Management
IRMS	Information Resources Management Service
IRS	Internal Revenue Service
IRTF	Internet Research Task Force
IS	Information Systems
IS	International Standard [ISO] (Beyond the DIS Stage)
ISA	Industry-Standard Architecture
ISAM	Indexed Sequential Access Method
ISAS	Institute of Space and Astronautical Science (Japan) [Space]
ISBD	International Bibliographic Description
ISC	Information Services Center
ISC	International Switching Center
ISCH	Interstitial-Cell-Stimulating Hormone (same as LH)
ISDN	Integrated Services Digital Network [Telephony]
ISDT	Integrated Systems Development Tool
ISEE	International Sun Earth Explorer (usually ISEE-3)
ISF	Information Systems Factory
ISFUG	Integrated Software Federal User Group
ISI	Information Sciences Institute
ISM	InterStellar Medium [Space]
ISO	Infrared Space Observatory [Space]
ISO	International Organization for Standardization 
ISO	International Standards Organization [Space]
ISODE	ISO Development Environment
ISOO	Information Security Oversight Office
ISPM	International Solar Polar Mission
ISPM	International Solar Polar Mission (now Ulysses) [Space]
ISR	Institute of Snow Research
ISRG	Independent Space Research Group
ISV	Independent Software Vendor
ISY	International Space Year [Space]
IT	Industrial Technology
IT	Information Technology
ITC	Inter-Task Communication
ITS	Incompatible Timesharing System
ITT	International Telephone and Telegraph
ITU	International Telecommunications Union
ITUSA	IT Users Standards Association
IUE	International Ultraviolet Explorer [Space]
IUS	Inertial Upper Stage
IUS	Inertial Upper Stage [Space]
IUV	Interlibrational Utility Vehicle [Space]
IXC	Inter-eXchange Carrier [Telephony] (see also IC, IEC)
IXI	International (pan-European) X.25 Infrastructure
JACM	Journal of the Association for Computing Machinery
JANET	Joint Academic Network (UK)
JBS	John Birch Society
JC	Jesus Christ
JC	Joint Compound (plumbing)
JC	Julius Caesar
JC	Junior College
JCA	Jewelry Crafts Association
JCAC	Joint Civil Affairs Committee
JCAE	Joint Committee on Atomic Energy
JCEE	Joint Council on Economic Education
JCET	Joint Council on Educational Television
JCS	Joint Chiefs of Staff
JD	Justice Department
JDS	John Dewey Society
JEM	Japanese Experiment Module (for SSF) [Space]
JES	John Ericsson Society
JET	Joint European Torus (fusion research)
JFK	John F. Kennedy
JFK	John F. Kennedy (international airport)
JFMIP	Joint Financial Management Improvement Program
JGR	Journal of Geophysical Research
JGR	Journal of Geophysical Research [Space]
JI	Justice, Inc.
JIC	Joint Intelligence Center
JIC	Just in Case
JILA	Joint Institute for Laboratory Astrophysics [Space]
JIM	Job Information Memorandum
JINTACCS	Joint INteroperability of TActical Command and Control Systems
JIS	Japan Industrial Standards
JISC	Japanese Industrial Standards Committee
JIT	Just In Time
JMS	John Milton Society
JNT	Joint Network Team (UK)
JO	Job Order
JO	Junior Officer
JOVE	Jonathan's Own Version of Emacs
JOVIAL	Jules Own Version of the International Algorithmic Language
JPL	Jet Propulsion Laboratory
JPL	Jet Propulsion Laboratory [Space]
JRC	Junior Red Cross
JSC	Johnson Space Center
JSC	Johnson Space Center (NASA) [Space]
JSD	Jackson System Development
JSRC	Joint Services Review Committee
JTIDS	Joint Tactical Information Distribution Systems
JV	Junior Varsity
JvNC	John von Neumann (Super Computer) Center
JvNCnet John von Neumann (Super Computer) Center network
