K	Kilo- (metric 1000)
POP	Point of Presence [Telephony]
POP	Post Office Protocol [Networking] (esp. TCP/IP)
POPS	Paperless Order Processing System
POR	Price On Request
POS	Point Of Sale
POS	Professional Operating System [DEC]
POSI	Promoting conference for OSI
POSIX	Portable Operating System for unIX
POSIX	Portable Operating System Interface
POTS	Plain Old Telephone Service [Telephony]
POTV	Personnel Orbit Transfer Vehicle [Space]
POV	Point Of View
POW	Prisoner Of War
PP	Parcel Post
PP	Past Participle
PP	Post Pay (payphone) [Telephony]
PP	Primary Point
PPB	Parts Per Billion
PPC	Pour Prendre Conge' (to take leave)
PPCS	Person to Person, Collect, Special [Telephony]
PPM	Parts Per Million
PPN	Parameterized Post-Newtonian formalism for general relativity
PPN	Project Programmer Number
PPP	Point-to-Point Protocol (successor to SLIP (q.v.))
pps	Packets per Second
PPS	PostPostScriptum
PPT	Parts Per Trillion
PPT	Pulse Pair Timing
PPT	Punched Paper Tape
PQ	Province of Quebec
PR	PayRoll
PR	Public Relations
PR	Puerto Rico
PRC	Planning Research Corporation
PREPnet Pennsylvania Research & Economic Partnership Network
PRI	Primary Rate Interface (ISDN) [Telephony]
PRN	pro re nata [Medicine] (as needed?)
PROFS	PRofessional OFfice System [IBM]
PROM	Programmable Read-Only Memory
PS	PicoSecond
PS	PostScript
PS	PostScriptum
PS	Power Steering
PS	Power Supply
PS	Proposed Standard
PS	Public School
PSA	Problem Statement Analyzer
PSC	Pittsburgh Supercomputer Center
PSC	Polar Stratospheric Clouds
PSDN	Public Switched Data Network [Telephony]
PSDS	Public Switched Digital Service [Telephony, AT&T]
PSE	Programming Support Environment
PSF	Point Spread Function [Space]
PSG	Platoon SerGeant
PSI	Performance Systems International [Corporate name, Networking]
PSI	Power Systems, Incorporated [Corporate name, Model Railroading]
PSK	Phase Shift Keying
PSL	Problem Statement Language
PSN	Packet Switch Node [ARPANET/MILNET] (replaced IMP)
PSR	Product Specific Realizations
PSR	PulSaR [Space]
PSS	(unknown to me, but something in the UK environment)
PST	Pacific Standard Time
PSTN	Public Switched Telephone Network
PT	Pacific Time
PT	Patrol Torpedo (as in PT boat)
PT	Physical Therapy
PT	Physical Training
PTA	Parent-Teacher Association
PTD	Parallel Transfer Disk
PTL	Praise The Lord (ministry)
PTN	Plant Test Number [Telephony] (actual number assigned for 800 service)
PTO	Patent and Trademark Office
PTO	Please Turn Over
PTO	Power Take-Off
PTT	Post, Telephone and Telegraph administration
PTV	Passenger Transport Vehicle [Space]
PUC	Public Utilities Commision
PV	Photovoltaic [Space]
PVC	Permanent Virtual Circuit (see also VC)
PVC	Poly-Vinyl Chloride
PVO	Pioneer Venus Orbiter [Space]
PW	Prisoner of War (usually POW)
PWG	Permanent Working Group
PX	Post eXchange (see BX)
QAM	Quadrature Amplitude Modulation
QC	Quality Control
QC	Queen's Counsel (KC when queen reigning)
QD	Quaque Die (daily) [Medicine]
QDA	Quantity Discount Agreement
QED	Quod Erat Demonstrandum (which was to be demonstrated) [Latin]
QEF	Quod Erat Faciendum (which was to be done) [Latin]
QEI	Quod Erat Inveniendum (which was to be found out) [Latin]
QET	Quantum Effect Transistor
QIC	Quarter-Inch Cartridge
QID	Quater In Die (four times a day) [Medicine]
QLI	Query Language Interpreter
QM	QuarterMaster
QMC	QuarterMaster Corps
QMF	Query Management Facility
QMG	QuarterMaster General
QMS	Quality Micro Systems [Corporate name]
QNS	Quantity Not Sufficient
QSO	Quasi-Stellar Object [Space]
q.v.	???? (Latin(?): which see)
QWERTY	first six keys from left on top alphabetic row of standard keyboard
R	Restricted [Movie rating]
R	Rolemaster
RA	Regular Army
RA	Research Assistant
RA	Royal Academy
RAAF	Royal Australian Air Force
RACE	Random Access Card Equipment
RACEP	Random Access and Correlation for Extended Performance 
RAD	Radiation Absorbed Dose
RAD	Rapid Access Disk
RADAR	RAdio Detection And Ranging
RADM	Rear ADMiral
RAF	Royal Air Force
RAM	Random Access Memory (R/W)
RAM	Red Academicia de Mexico (Mexican Academic Network)
RARDE	Royal Armaments Research and Development Establishment
RARE	R\'eseaux Associ\'es pour la Recherche Europ\'eenne (the European Organization of Research Networks)
RAS	Reliability, Availability, and Serviceability
RASC	Residence Account Service Center
RATS	Radio Amateur Telecommunications Society
R&B	Rhythm and Blues (commonly R and B)
RBC	Red Blood Count
RBI	Runs Batted In
RBOC	Regional Bell Operating Company
RC	Red Cross
RC	Regional Center
RC	Resistor-Capacitor circuit (as in filters)
RC	Roman Catholic
RCA	Radio Corporation of America [Corporate name]
RCAF	Royal Canadian Air Force
RCAS	Reserve Component Automation System
RCC	Radio Common Carrier
RCMP	Royal Canadian Mounted Police
RCS	Reaction Control System [Space]
R&D	Research and Development (commonly R and D)
RD	Rural Delivery
RDA	Remote Data Access
RDBMS	Relational DataBase Management System
RDF	Radio Direction Finding
REA	Rail Express Agency
RECON	Reconnaissance
REM	Rapid Eye Movement
REO	R. E. Olds
REO	Removable, Erasable, Optical
RETMA	Radio {something(equipment?)?} {something?} Manufacturers' Association (????)
REXX	Restructured EXtended eXecutor
RF	Radio Frequency
RF	Radio Frequency [Space]
RFC	Request For Comments (ala ARPA Internet)
RFD	Rehoboth (MA) Fire Department
RFD	Rural Free Delivery
RFI	Radio Frequency Interference
RFI	Radio Frequency Interference [Space]
RFP	Request for Proposal
RFQ	Request for Quote
RFS	Remote File System
RGB	Red Green Blue
RGP	Raster Graphics Processor
RH	Right Hand
RHC	Regional (Bell) Holding Company
RHS	Right Hand Side
RI	Rhode Island
RIACS	Research Institute for Advanced Computer Science (NASA)
RIACS	Research Institute for Advanced Computer Science [Space]
RIAS	Radio In the American Sector, berlin
RIF	Reading Is Fundamental
RIF	Reduction In Force
RILM	Repertoire International de Literature Musicale
RIP	Rest In Peace (or Requiescat In Pace : latin)
RIP	Routing Interchange Protocol
RIPE	R\'eseaux IP Europ\'eenne (European IP Networks) (of RARE, q.v.)
RISC	Reduced Instruction Set Computer
RITA	Recognition of Information Technology Achievement award
RJE	Remote Job Entry
RLC	Resistor Inductor Capacitor
RLG	Research Libraries Group
RLIN	Research Libraries Information Network (run by RLG (q.v.))
RLL	Run Length Limited
RMA	Radio Manufacturers' Association
RMA	Return Materials Authorization
RMATS	Remote Maintenance Administration and Traffic System [Telephony]
RMS	Remote Manipulator System [Space]
RMS	Richard M. Stallman
RMS	Root Mean Square
RMS	Royal Mail Ship
RN	Registered Nurse
RN	Royal Navy
RNA	RiboNucleic Acid
RNGC	Revised New General Catalog [Space]
RNZAF	Royal New Zealand Air Force
ROFF	Run-OFF
ROG	Receipt Of Goods
ROM	Range Of Motion [Medicine]
ROM	Read-Only Memory
ROM	Rupture Of Membrane (as in birth)
ROSAT	ROentgen SATellite [Space]
ROSE	RATS (q.v.) Open Systems Environment
ROSE	Remote Operations Service Entity (per ISO/CCITT layer 7)
ROTC	Reserve Officers' Training Corps
ROTS	Rotary Out Trunks Selectors
ROYGBIV Red, Orange, Yellow, Green, Blue, Indigo, Violet
RPC	Remote Procedure Call
RPG	RePort Generator
RPG	Role Playing Game
RPI	Rensselaer Polytechnic Institute
RPM	Revolutions Per Minute
RPN	Reverse Polish Notation
RPO	Railway Post Office
RPS	Revolutions Per Second
RPV	Remotely Piloted Vehicle
RQ	RuneQuest
RR	RailRoad
RR	Route Relay
RR	Rural Route
RRO	Rate and Route Operator [Telephony]
RS	Recommended Standard (EIA)
RS	Recording Secretary
RS	Revised Status
RS	Right Side
RS	Royal Society
RSCS	Remote Spooling Communications Subsystem
RSFSR	Russian Soviet Federated Socialist Republic
RSN	Real Soon Now
RSU	Remote Switching Unit
RSV	Revised Standard Edition
RSVP	Repondez S'il Vous Plait (please reply)
RSWC	Right Side up With Care
RT	RadioTelephone
RT	RealTime
RTA	Remote Trunk Arrangement [Telephony]
RTAC	Regional Technical Assistance Center [Telephony]
RTF	Rich Text Format
RTFM	Read The @!# Manual
RTFM	Read The F***ing Manual
RTG	Radioisotope Thermoelectric Generator
RTG	Radioisotope Thermoelectric Generator [Space]
RTLS	Return To Launch Site (Shuttle abort mode) [NASA, Shuttle, Space]
RTR	Ready to Run [Model Railroading]
RTR	Reel-To-Reel
RTS	Request To Send (EIA RS-232-C)
RTTY	Radio Teletype
RU	Receive Unit
RVD	Remote Virtual Disk [MIT]
RW	Right Worshipful
RW	Right Worthy
RX	Receive
Ry	Railway
S	South
S	Supplement
SA	Salvation Army
SA	Seaman Apprentice
SA	Service Assistant
SA	Sex Appeal
SA	Sine Anno (without date)
SA	South Africa
SA	South America
SA	Subject to Approval
SAA	South Atlantic Anomaly
SAA	South Atlantic Anomaly [Space]
SAA	Systems Application Architecture
SAC	Special Area Code [Telephony] (represent services, not places)
SAC	Strategic Air Command (see TAC)
SAC	Strategic Air Command [US military]
SADD	Students Against Drunk Driving
SAFENET Survivable Adaptable Fiberoptic Embedded Network [US Navy]
SAM	Surface to Air Missile
SAM	Surface-to-Air Missile
SAMA	Step-by-step Automatic Message Accounting [Telephony]
SAMPEX	Solar Anomalous and Magnetospheric Particle EXplorer [Space]
SAMTO	Space And Missile Test Organization [Space]
SAO	Smithsonian Astrophysical Observatory [Space]
SAP	Second Audio Program
SAP	Service Access Point [OSI, Networking]
SAR	Search And Rescue
SAR	Synthetic Aperture Radar
SARA	Satellite pour Astronomie Radio Amateur [Space]
SARA	Stichting Academisch Rekencentrum Amsterdam (Amsterdam Universities Computing Center)
SAREX	Search and Rescue Exercise [Space]
SAREX	Shuttle Amateur Radio Experiment [Space]
SARTS	Switched Access Remote Test System
SAS	Small Astronomy Satellite
SAS	Space Activity Suit [Space]
SASE	Self-Addressed Stamped Envelope
SASI	Shugart Associates Systems Interface
SAT	Satellite [Space]
SAW	Surface Acoustic Wave
SBA	Small Business Administration
SC	Secondary Channel
SC	Sectional Center
S&C	Skull & Crossbones
SC	South Carolina
S/C	SpaceCraft [Space]
SC	SubCommittee
SCA	Shuttle Carrier Aircraft [Space]
SCAD	Subsonic Cruise Armed Decoy
SCADC	Standard Central Air Data Computer
SCAME	SCreen oriented Anti-Misery Editor
SCAMP	Single-Chip A-series Mainframe Processor
SCAN	Switched Circuit Automatic Network
SCC	Specialized Common Carriers
SCC	Switching Control Center
SCCS	Source Code Control System
SCE	Signal Conversion Equipment
SCE	Structure Chart Editor
SCI	SpaceCraft Incorporated
SCIFI	SCIence FIction (often used pejoratively of what really isn't)
SCO	Santa Cruz Operation
SCOOPS	SCheme Object Oriented Programming System
SCOTS	Surveilance and Control Of Transmission Systems
SCSI	Small Computer Systems Interface
SCT	Schmidt-Cassegrain Telescope [Space]
SCUBA	Self Contained Underwater Breathing Apparatus
SCUD	Subsonic Cruise Unarmed Decoy
SD	South Dakota
SDB	Source(?) DeBugger
SDI	Standard Disk Interconnect [DEC]
SDI	Strategic Defense Initiative [Space, US Government]
SDIO	Strategic Defense Initiative Organization [Space, US Government]
SDLC	Synchronous Data Link Control [IBM]
SDM	Sub-rate Data Multiplexer
SDN	Software Defined Network [Telephony, AT&T]
SDN	System Development Network (Korea)
SDO	Staff Duty Officer 
SDSC	San Diego Supercomputer Center
SDV	Shuttle Derived Vehicle [Space]
SE	Service Engineer (see also CE, FE)
SE	South East
SEATO	SouthEast Asia Treaty Organization
SEC	Security Exchange Commission
SECNAV	SECretary of the NAVy
SED	Stream EDitor
SEI	Software Engineering Institute (Carnegie Mellon)
SEI	Space Exploration Initiative [Space]
SEL	Software Engineering Laboratory
SEM	Scanning Electron Microscope
SEST	Swedish-European Submillimeter Telescope [Space]
SETI	Search for Extra Terrestrial Intelligence [Space]
SETI	Search for ExtraTerrestrial Intelligence [Space]
SF	San Francisco
SF	Science Fiction; Speculative Fiction
SF	Standard Form
SF	Star Frontiers
SFRPG	Science Fiction Role Playing Game
SG	StarGuard
SG	SubGroup
SGML	Standard Generalized Markup Language
SHAPE	Supreme Headquarters Allied Powers Europe
SHAR	SHell ARchiver
SHCD	Sherlock Holmes Consulting Detective
SHF	Super High Frequency (3-30GHz)
SHRPG	Super Hero Role Playing Game
SI	Staten Island
SIAM	Society for Industrial and Applied Mathematics
SID	Sudden Ionospheric Disturbance [Space]
SIG	Special Interest Group
SIGCAT	Special Interest Group for Cd-rom Applications Technology
SIMD	Single Instruction, Multiple Data
SIMM	Single In-line Memory Module
SIMM	System Integrated Memory Module
SINE	SINE is not EINE
SIPS	Satellite Imagery Processing System
SIR	Shuttle Imaging Radar [Space]
SIRTF	Space (formerly Shuttle) InfraRed Telescope Facility [Space]
SIRTF	Space Infrared Telescope Facility [Space]
SIS	Strategic Information System
SISCOM	Satellite Information System COMpany
SITA	Societe Internationale Telecommunications Aeronautiques
SJ	Society of Jesus
Skyhook Surface to space "elevator" transportation system [Space]
SL	Salvage Loss
SL	Space Launch [Space]
SL	SpaceLab [Space]
SLA	Special Libraries Association
SLA	Synchronous Line Adapter
SLAC	Stanford Linear Accelerator Center
SLAN	Sine Loco, Anno, (vel) Nomine (without place, year, or name)
SLAR	Side Looking Airborne Radar
SLAR	Side-Looking Airborne Radar [Space]
SLBM	Submarine Launched Ballistic Missiles
SLC	Space Launch Complex [Space]
SLC	Subscriber Loop Carrier [Telephony]
SLDC	Synchronous Data Link Control
SLIP	Serial Line Internet Protocol
SLIP	Serial Line IP (sometimes SL/IP) (see also PPP)
SLP	Super Long Play (VHS VCR)
SLS	Space(lab) Life Sciences [Space]
SM	Service Mark
SMA	Sergeant Major of the Army
SMA	Spectrum Manufacturers Association
SMC	Small Magellanic Cloud (see LMC)
SMC	Small Magellanic Cloud [Space]
SMD	Storage Module Device (interface standard for disk drives)
SMD	Surface Mounted Devices
SMDR	Station Message Detail Recording [Telephony]
SMDS	Switched Multi-megabit Data Service [Telephony, Networking]
SME	Solar Mesosphere Explorer [Space]
SMEGMA	Sophisticated Modern Editor with Gloriously Magnificent Abilities
SMERSH	Abbr. of Russian phrase meaning "Death to the spies."
SMEX	SMall EXplorers [Space]
SMILS	Sonobuoy Missile Impact Location System
SMM	Solar Maximum Mission (satellite 1980-1989) [Space]
SMTP	Simple Mail Transfer Protocol
SMU	Southeastern Massachusetts University
SMU	Southern Methodist University
SN	Science News [Periodical]
SN	Serial Number
SN	Super Nova
SN	SuperNova (e.g., SN1987A) [Space]
SNA	Systems Network Architecture [IBM]
SNADS	SNA Distribution Services
SNAFU	Situation Normal -- All Fouled Up (also more profane versions)
SNAP	Shipboard Non-tactical Automated data Processing program
SNAP	Sub Network Access Protocol [OSI, Networking]
SNCF	Societe National des Chemins de Fer (French National Railways)
SNF	Server-Natural Format
SNMP	Simple Network Management Protocol [TCP/IP]
SNOBOL	StriNg Oriented symbOLic Language
SNPA	SubNetwork Point of Attachment
SNR	Signal to Noise Ratio
SNR	Signal to Noise Ratio [Space]
SNR	SuperNova Remnant [Space]
SNU	Solar Neutrino Units [Space]
SO	Seller's Option
SO	Significant Other
SO	Space Opera
SO	Strike Out
SOAP	Symbolic Optimizing Assembler Program
SOFIA	Stratospheric Observatory For Infrared Astronomy [Space]
SOH	Start Of Header, ASCII control character (dec=01,control-A)
SOHIO	Standard Oil of oHIO [Corporate name]
SOHO	SOlar Heliospheric Observatory [Space]
SOL	Short on Landing (or, colloquially, Shit Out of Luck)
SONAR	SOund Detection And Ranging
SONET	Synchronous Optical Network [Telephony]
SOP	Standard Operating Procedure
SOS	Save Our Souls (International standard distress call, Morse ...---...)
SOS	Silicon On Sapphire
SOS	Son of Stopgap (editor) [DEC]
SP	Shore Patrol
SP	Short Play (VHS VCR)
s.p.	sine prole (Latin: without issue) [Genealogy]
SP	Southern Pacific [Corporate name, Railroading]
SP	Stack Pointer
SP	Star Patrol
SPA	Software Publishers Association
SPAG	Standards Promotion and Applications Group
SPAN	Space Physics and Analysis Network [NASA] (DECnet)
SPAN	Space Physics and Analysis Network [Space]
SPAR	Stock Points Adp Replacement
SPARC	Scalable Processor ARChitecture
SPARC	Standards, Planning, And Requirements Committee
SPAWAR	naval SPAce and WARfare command
SPC	Software Productivity Consortium
SPCA	Society for the Prevention of Cruelty to Animals
SPCC	Society for the Prevention of Cruelty to Children
SPDM	Special Purpose Dextrous Manipulator [Space]
SPEC	Systems Performance Evaluation Cooperative
SPITBOL SPeedy ImplemenTation of snoBOL
SPNI	Society for the Protection of Nature in Israel
SPOT	Systeme Probatoire pour l'Observation de la Terre [Space]
SPS	Solar Power Satellite [Space]
SPUR	Systech Pluraxial Unplug Repeater
SQE	Signal Quality Error (IEEE 802.3, eqv to D/I/X "Collision Presence Test") [Ethernet]
SQIID	Simultaneous Quad Infrared Imaging Device (at NOAO)
SQL	Structured Query Language
SQUID	Superconducting QUantum Interference Device
SRAM	Short Range Attack Missile
SRAM	Static RAM
SRB	Solid (fuel) Rocket Booster [Space]
SRG	Short and Ring Ground (test) [Telephony]
SRI	Stanford Research Institute
SRM	Solid Rocket Motor [Space]
SRO	Standing Room Only
SS7	Signalling System #7 [Telephony]
SSA	Social Security Administration [US Government]
SSB	Single Side Band
SSC	Superconducting Super Collider
SSE	South-SouthEast
SSF	Space Station Fred (er, Freedom) [Space]
SSF	Space Station Freedom [NASA, Space]
SSFF	Showcase Software Factory of the Future
SSG	Staff SerGeant
SSI	Small Scale Integration
SSI	Solid-State Imager (on Galileo) [Space]
SSI	Space Services Incorporated [Corporate name, Space]
SSI	Space Studies Institute [Space]
SSI	Supplemental Security Income
SSME	Space Shuttle Main Engine [Space]
SSPF	Space Station Processing Facility [Space]
SSPS	Satellite Solar Power Station [Space]
SSR	Secondary Surveillance Radar
SSR	Soviet Socialist Republic
SSRMS	Space Station Remote Manipulator System [Space]
SST	Spectroscopic Survey Telescope [Space]
SST	SuperSonic Transport [Space]
SSTO	Single Stage To Orbit [Space]
SSTV	Slow Scan TeleVision
SSW	South-SouthWest
ST	Short Ton
STARS	Software Technology for Adaptable, Reliable Systems
STD	Sacrae Theologiae Doctor (doctor of sacred theology)
STD	Sexually Transmitted Disease (replaces VD)
STD	State Transition Diagram
STD	Subscriber Trunk Dialing (British, and elsewhere; equiv. DDD in USA)
STI	Standard Tape Interconnect [DEC]
STILO	Scientific and Technical Intelligence Liaison Office
STIS	Space Telescope Imaging Spectrometer (to replace FOC and GHRS) [Space]
STL	St. Louis (airport designation)
STN	SuperTwisted Nematic
STOL	Short TakeOff and Landing
STP	Shielded Twisted Pair [Telecom, Networking]
STP	Software Through Pictures
STP	Standard Temperature and Pressure (see NTP)
STRPG	Star Trek:  The Role-Playing Game
STS	Space Transportation System (space shuttle) [NASA]
STScI	Space Telescope Science Institute [Space]
STV	Single Transferable Vote
STV	Space Transfer Vehicle [Space]
SUM	Symantec Utilities for Macintosh
SUN	Stanford University Network
SUN	SUN MicroSystems Computer (not an Acronym) [Corporate name]
SUNOCO	SUN Oil COmpany [Corporate name]
SUNY	State University of New York
SURAnet Southeastern Universities Research Association Network
SVID	System V Interface Definition
SW	South West
SW	SuperWorld
SWAS	Submillimeter Wave Astronomy Satellite [Space]
SWBT	South Western Bell Telephone [Telephony]
SWF	ShortWave Fading [Space]
SWIFT	Society for Worldwide Interbank Financial Communications
SWS	Scientific Workstation Support
SXS	Step by Step switching [Telephony]
T	Traveler
T1	1.544Mbps [Telephony], one of the basic signalling systems 24x64Kb
T3	45Mbps (eq 28 T1 channels) [Telephony]
TA	Teaching Assistant
TAC	Tactical Air Command (see SAC)
TAC	Terminal Access Controller [ARPANET/MILNET] (replaced TIP)
TACACS	Terminal Access Controller Access Control System [ARPANET/MILNET]
TACCS	Tactical Army Combat service support Computer System
TAE	Transportable Applications Environment
TAL	Trans-Atlantic Abort Landing [NASA, Shuttle]
TAL	Transatlantic Abort Landing (Shuttle abort plan) [Space]
TANSTAAFL	There Ain't No Such Thing As A Free Lunch
TAR	Tape ARchiver
TASI	Time Assign{ment,ed} Speech Interpolation [Telephony]
TAU	Thousand Astronomical Units [Space]
TB	TuBerculosis
TBA	To Be Announced
TBD	To Be Determined
TBD	To Be Done
TC	Teachers College
TCA	Terminal Controlled Airspace
TCP	Transmission Control Protocol
TCP/IP	Transmission Control Protocol/Internet Protocol
TCS	Thermal Control System [Space]
TCSEC	Trusted Computer System Evaluation Criteria (orange book)
TCT	To Challenge Tomorrow
TD	Tardive Dyskinesia
TD	TouchDown
TD	Treasury Department
TDCC	Transportation Data Coordinating Committee
TDE	Transition Diagram Editor
TDI	Trusted Database Interpretation
TDM	Time-Division Multiplexer
TDR	Time Domain Reflectometer
TDRS	Tracking and Data Relay Satellite [Space]
TDRSS	Tracking and Data Relay Satellite System [Space]
TDY	Temporary DutY
TECO	Tape Editor and COrrector
TECO	Text Editor and COrrector
TEFLON	polyTEtraFLuOrethyleNe
TES	Thermal Emission Spectrometer (on Mars Observer) [Space]
TFP	Tops Filing Protocol
TFS	Translucent File System
TFT	The Fantasy Trip
TFT	Thin Film Transistor
TG	Thieves' Guild
TGV	Tres Grande Vitesse (French, Very High Speed) [Railroading]
TGV	Two Guys and a VAX (humorous variant) [Corporate name]
THIEF	THief Isn't Even Fine
THIEF	This Here Isn't Even Fine
THOR	Tandy High-intensity Optical Recording
TI	Texas Instruments
TIA	Thanks In Advance [Net jargon]
TIA	Transient Ischemic Attack
TIC	TermInfo Compiler
TID	Ter In Die (three times a day)
TID	Transaction ID
TIFF	Tag Image File Format
TIP	Terminal Interface Processor [ARPANET/MILNET] (replaced by TAC)
TIS	Trusted Information Systems [Corporate name]
TISN	Tokyo International Science Network (Japan)
TKO	Technical Knock Out [Boxing]
TL	Total Loss
TLA	Three Letter Acronym
TLC	Tender Loving Care
TLI	Transort-Level Interface
TM	TradeMark
TMA	Tycho Magnetic Anomaly (movie 2001)
TMAC	Treasury department's Multiuser Acquisition Contract
TMIS	Telecommunications Management Information System
TMO	Telephone Money Order
TMP	The Morrow Project
TMRC	Tech Model Railroad Club [MIT]
TMRC	Transportation Modeling Research Center (TMRC {above} alter ego)
TN	Tennessee
TN	Twisted Nematic
TNC	Threaded Neill Concelman (connector) [Electronics] (see also BNC)
TNF	Tumor Necrosis Factor [Biology, Medicine]
TNP	Tech Nickel Plate (RR) [TMRC]
TNT	TriNitro Toluene
TO	Telegraph Office
TO	Turn Over
TODS	Transactions on Database Systems (ACM)
TOMS	Total Ozone Mapping Spectrometer [Space]
TOMS	Transactions on Mathematical Software (ACM)
TOOIS	Transactions on Office Information Systems (ACM)
TOP	Technical Office Protocol
TOPLAS	Transactions on Programming Languages and Systems (ACM)
TOPS	Traffic Operator Position System [Telephony]
TOPSMP	Traffic Operator Position System Multipurpose [Telephony]
TORES	Text ORiented Editing System
TOS	Transfer Orbit Stage [Space]
TOW	Tube launched, Optically tracked, and Wire guided
TOY	Time Of Year (clock)
TP	Transaction Processing
TP	Transport Protocol (ISO/CCITT Transport Services (TP0-TP4); like TCP)
TP4	Transport Protocol, class 4 [ISO]
TPC	The Phone Company (from classic movie: _The President's Analyst_)
TPI	Tracks Per Inch
TPO	Traveling Post Office
TPP	TetraarylPorPhyrin
TPS	Technical Publishing Software
TPS	TeleProcessing Services
TPS	Thermal Protection System [Space]
TR	Tech Report (at least at LCS (q.v.), maybe others)
TR	Technical Reference [Bell, Telephony]
TRG	Tip and Ring Ground (test) [Telephony]
TROFF	Text RunOFF, text formatter
TRUSIX	TRUSted unIX
TRW	Thompson, Ramo, and Woolridge
TS	Top Secret
TSAP	Transport Service Access Point [OSI, Networking]
TSD	Total System Design
TSP	Teleprocessing Services Program
TSP	Thrift Savings Plan
TSP	Time Synchronization Protocol
TSP	TriSodium Phosphate
TSR	TSR (Fortune 500 Company that manufactures Dungeons & Dragons)
TSS	Tethered Satellite System [Space]
TSTO	Two Stage to Orbit [Space]
T&T	Tunnels & Trolls
TTFN	Tah Tah, For Now
TTL	Transistor Transistor Logic
TTMA	Tennessee Tech Microcomputer Association
TTU	Tennessee Technological University
TTY	TeleTYpe
TUNIS	Toronto UNIversity System
TV	TeleVision
TVA	Tennessee Valley Authority
TW	Thieves' World
TWA	Trans World Airlines [Corporate name]
TWB	Terrestrial WideBand [Networking, DARPA]
TWIMC	To Whom It May Concern
TWT	Traveling Wave Tube
TWX	TeletypeWriter eXchange
TX	Texas
Tx	Transmit
u	(representing the greek mu) - micro
U	Universe
UA	United Artists
UAR	United Arab Republic
UAR	User Action Routine
UARS	Upper Atmosphere Research Satellite [Space]
UART	Universal Asynchronous Receiver Transmitter
UBA	UniBus Adapter [DEC]
UBC	Universal Bibliographic Control
UBC	University of British Columbia
UBM	Unpressurized Berthing Mechanism [Space]
UCAR	University Corporation for Atmospheric Research
UCB	University of California at Berkeley
UCD	Uniform Call Distributor [Telephony]
UCD	University of California at Davis
UCI	University of California at Irvine
UCL	University College London
UCLA	University of California at Los Angeles
UCR	University of California at Riverside
UCSB	University of California at Santa Barbara
UCSC	University of California at Santa Cruz
UCSD	University of California at San Diego
UCSF	University of California at San Francisco
UDB	Unified DataBase
UDMH	Unsymmetrical DiMethyl Hydrazine [Space]
UDP	User Datagram Protocol
UEC	User Environment Component
UFO	Unidentified Flying Object [Space]
UGC	Uppsala General Catalog [Space]
UH	Upper Half
UHF	Ultra High Frequency (300-3000MHz)
UID	Unique IDentifier
UID	User IDentification [UNIX]
UIMS	User Interface Management System
UIT	Ultraviolet Imaging Telescope (Astro package) [Space]
UIUC	University of Illinois at Urbana-Champaign
UK	United Kingdom
UKST	United Kingdom Schmidt Telescope [Space]
UL	Underwriters Laboratory
ULANA	Unified Local-Area Network Architecture
UMOC	Ugliest Man On Campus [MIT]
UMT	Universal Military Training
UN	United Nations
UNESCO	United Nations Educational, Scientific, & Cultural Organization
UNICEF	United Nations International Children's Emergency Fund (now United Nat. Child. Fund)
UNICS	UNiplex Information Computer Services
UNIX	Not an acronym at all.	Was a joke on MIT's MULTICS.
UNMA	Unified Network Management Architecture [AT&T]
UNO	United Nations Organization
UP	Union Pacific [Railroading, Corporate name]
UPC	Universal Product Code
UPI	United Press International
UPI	United Press International [Corporate name]
UPS	Uninterruptible Power Supply
UPS	United Parcel Service [Corporate name]
UR	University of Rochester
URI	University of Rhode Island
US	United States (of America)
USA	Union of South Africa
USA	United States Army
USA	United States of America
USAF	United States Air Force
USAFA	United States Air Force Academy (in Colorado Springs)
USAN	University Satellite Network
USB	Upper Side Band
USC	University of Southern California
USCG	United States Coast Guard
USDA	United States Department of Agriculture
USES	United States Employment Service
USFL	United States Football League
USGS	United States Geological Survey
USIA	United States Information Agency
USM	United States Mail
USMC	United States Marine Corps
USMP	United States Microgravity Payload [Space]
USN	United States Navy
USO	United Service Organizations
USO	Unix Software Operation
USP	United States Pharmacopeia
USPS	United States Postal Service
USR	User Service Routines
USS	United States Ship
USSR	Union of Soviet Socialist Republics
USSS	User Services and Systems Support
USW	Und So Weiter
UT	Universal Time (a.k.a. GMT, UTC, or Zulu Time)
UT	University of Tennessee
UT	University of Texas
UT	UTah
UTC	Coordinated Universal Time (a.k.a. UT)
UTC	Universal Coordinated Time (a.k.a. UT)
UTnet	University of Texas Network
UTP	Unshielded Twisted Pair [Telecom, Networking]
UUCP	UNIX-to-UNIX Copy Program
UUG	Unix User Group
UV	UltraViolet
UVS	UltraViolet Spectrometer
UW	UnderWriter
UW	Univ of Wisconsin
VA	Veterans Administration
VA	Virginia
VAB	Vehicle Assembly Building (formerly Vertical Assembly Building) [Space]
VAFB	Vandenberg Air Force Base [Space]
VAN	Value Added Network (e.g. Tymnet, Telenet, etc)
VANS	Value-Added Network Services
VAR	Value Added Remarketer (reseller)
VASI	Visual Approach Slope Indicator
VAT	Value Added Tax
VAX	Virtual Address eXtended
VAXBI	VAX Bus Interconnect
VC	Viet Cong
VC	Virtual Circuit
Vcc	Voltage (Common Cathode?)
VCM	Voice Coil Motor
VCO	Voltage Controlled Oscillator
VCR	VideoCassette Recorder
VCU	Virginia Commonwealth University
